COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,2020,34187.21
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,2021,35197.951
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,3Q2022,9501.285
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,Nov-21,2982.116
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,Nov-22,3260.422
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,YTD2021,32248.046
OECDTOT,BALANCE,CRNGFEED,BACKFLOW,YTD2022,33349.559
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2020,325017.093
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2021,292130.492
OECDTOT,BALANCE,CRNGFEED,CSNATTER,1Q2022,288947.671
OECDTOT,BALANCE,CRNGFEED,CSNATTER,2Q2022,284704.93
OECDTOT,BALANCE,CRNGFEED,CSNATTER,3Q2022,275247.303
OECDTOT,BALANCE,CRNGFEED,CSNATTER,4Q2021,292682.125
OECDTOT,BALANCE,CRNGFEED,CSNATTER,Nov-21,299592.722
OECDTOT,BALANCE,CRNGFEED,CSNATTER,Nov-22,269629.586
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,2020,253480.604
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,2021,259185.77
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,3Q2022,70786.273
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,Nov-21,22589.751
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,Nov-22,22918.498
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,YTD2021,237448.801
OECDTOT,BALANCE,CRNGFEED,DIRECUSE,YTD2022,250331.329
OECDTOT,BALANCE,CRNGFEED,INDPROD,2020,1234005.868
OECDTOT,BALANCE,CRNGFEED,INDPROD,2021,1271122.922
OECDTOT,BALANCE,CRNGFEED,INDPROD,3Q2022,327188.369
OECDTOT,BALANCE,CRNGFEED,INDPROD,Nov-21,106608.852
OECDTOT,BALANCE,CRNGFEED,INDPROD,Nov-22,109544.162
OECDTOT,BALANCE,CRNGFEED,INDPROD,YTD2021,1161970.94
OECDTOT,BALANCE,CRNGFEED,INDPROD,YTD2022,1176307.954
OECDTOT,BALANCE,CRNGFEED,OSNATTER,2020,326017.082
OECDTOT,BALANCE,CRNGFEED,OSNATTER,2021,320786.507
