sep=;
country_or_region;year;variable;generation_twh
EU;2000;Bioenergy;30.11
EU;2000;Clean;1266.9
EU;2000;Coal;800.33
EU;2000;Fossil;1361.04
EU;2000;Gas;331.48
EU;2000;Hydro;350.17
EU;2000;Nuclear;859.95
EU;2000;Other Fossil;229.23
EU;2000;Other Renewables;5.29
EU;2000;Solar;0.11
EU;2000;Wind;21.27
EU;2000;Wind and solar;21.38
EU;2001;Bioenergy;31.9
EU;2001;Clean;1325.25
EU;2001;Coal;792.92
EU;2001;Fossil;1378.91
EU;2001;Gas;354.33
EU;2001;Hydro;373.43
EU;2001;Nuclear;888.9
EU;2001;Other Fossil;231.66
EU;2001;Other Renewables;5.09
EU;2001;Solar;0.19
EU;2001;Wind;25.74
EU;2001;Wind and solar;25.93
EU;2002;Bioenergy;36.8
EU;2002;Clean;1292.32
EU;2002;Coal;814.34
EU;2002;Fossil;1429.89
EU;2002;Gas;372.81
EU;2002;Hydro;312.6
EU;2002;Nuclear;902.34
EU;2002;Other Fossil;242.74
EU;2002;Other Renewables;5.25
EU;2002;Solar;0.27
EU;2002;Wind;35.06
EU;2002;Wind and solar;35.33
EU;2003;Bioenergy;43.16
EU;2003;Clean;1304.6
EU;2003;Coal;849.04
EU;2003;Fossil;1497.59
EU;2003;Gas;420.74
EU;2003;Hydro;304.64
EU;2003;Nuclear;907.18
EU;2003;Other Fossil;227.81
EU;2003;Other Renewables;5.92
EU;2003;Solar;0.4
EU;2003;Wind;43.3
EU;2003;Wind and solar;43.7
EU;2004;Bioenergy;52.76
EU;2004;Clean;1368.6
EU;2004;Coal;835.42
EU;2004;Fossil;1500.39
EU;2004;Gas;460.38
EU;2004;Hydro;323.19
EU;2004;Nuclear;928.46
EU;2004;Other Fossil;204.59
EU;2004;Other Renewables;5.99
EU;2004;Solar;0.68
EU;2004;Wind;57.52
EU;2004;Wind and solar;58.2
EU;2005;Bioenergy;61
EU;2005;Clean;1359.51
EU;2005;Coal;808.89
EU;2005;Fossil;1523.26
EU;2005;Gas;514.72
EU;2005;Hydro;307.02
EU;2005;Nuclear;916.08
EU;2005;Other Fossil;199.65
EU;2005;Other Renewables;5.87
EU;2005;Solar;1.45
EU;2005;Wind;68.09
EU;2005;Wind and solar;69.54
EU;2006;Bioenergy;69.86
EU;2006;Clean;1381.55
EU;2006;Coal;816.5
EU;2006;Fossil;1553.34
EU;2006;Gas;542.5
EU;2006;Hydro;309.98
EU;2006;Nuclear;914.44
EU;2006;Other Fossil;194.34
EU;2006;Other Renewables;6.08
EU;2006;Solar;2.47
EU;2006;Wind;78.72
EU;2006;Wind and solar;81.19
EU;2007;Bioenergy;78.43
EU;2007;Clean;1368.32
EU;2007;Coal;828.74
