country_or_region,year,variable,generation_twh
France,2000,Bioenergy,2.48
France,2000,Clean,482.99
France,2000,Coal,27
France,2000,Fossil,50.61
France,2000,Gas,11.51
France,2000,Hydro,64.78
France,2000,Nuclear,415.16
France,2000,Other Fossil,12.1
France,2000,Other Renewables,0.51
France,2000,Solar,0.01
France,2000,Wind,0.05
France,2000,Wind and solar,0.06
France,2001,Bioenergy,2.85
France,2001,Clean,497.17
France,2001,Coal,20.48
France,2001,Fossil,46.48
France,2001,Gas,15.15
France,2001,Hydro,72.62
France,2001,Nuclear,421.08
France,2001,Other Fossil,10.85
France,2001,Other Renewables,0.48
France,2001,Solar,0.01
France,2001,Wind,0.13
France,2001,Wind and solar,0.14
France,2002,Bioenergy,3.04
France,2002,Clean,499.45
France,2002,Coal,23.66
France,2002,Fossil,52.67
France,2002,Gas,18.37
France,2002,Hydro,58.88
France,2002,Nuclear,436.76
France,2002,Other Fossil,10.64
France,2002,Other Renewables,0.49
France,2002,Solar,0.01
France,2002,Wind,0.27
France,2002,Wind and solar,0.28
France,2003,Bioenergy,3.23
France,2003,Clean,502.54
France,2003,Coal,26.26
France,2003,Fossil,57.38
France,2003,Gas,19.37
France,2003,Hydro,57.35
France,2003,Nuclear,441.07
France,2003,Other Fossil,11.75
France,2003,Other Renewables,0.49
France,2003,Solar,0.01
France,2003,Wind,0.39
France,2003,Wind and solar,0.4
France,2004,Bioenergy,3.31
France,2004,Clean,510.66
France,2004,Coal,24.37
France,2004,Fossil,56.53
France,2004,Gas,21.05
France,2004,Hydro,58.04
France,2004,Nuclear,448.24
France,2004,Other Fossil,11.11
France,2004,Other Renewables,0.47
France,2004,Solar,0.01
France,2004,Wind,0.59
France,2004,Wind and solar,0.6
France,2005,Bioenergy,3.39
France,2005,Clean,506.51
France,2005,Coal,27.51
France,2005,Fossil,63.35
France,2005,Gas,23.07
France,2005,Hydro,50.14
France,2005,Nuclear,451.53
France,2005,Other Fossil,12.77
France,2005,Other Renewables,0.48
France,2005,Solar,0.01
France,2005,Wind,0.96
France,2005,Wind and solar,0.97
France,2006,Bioenergy,3.38
France,2006,Clean,511.1
France,2006,Coal,22.89
France,2006,Fossil,56.9
France,2006,Gas,21.76
France,2006,Hydro,54.88
France,2006,Nuclear,450.19
France,2006,Other Fossil,12.25
France,2006,Other Renewables,0.46
France,2006,Solar,0.01
France,2006,Wind,2.18
France,2006,Wind and solar,2.19
France,2007,Bioenergy,3.75
France,2007,Clean,504.03
