Date,Borderpoint,Exit,Entry,Gas Trade Flow(Million cubic metres
10/01/2008,Nord Stream,Russia,Germany,0
11/01/2008,Nord Stream,Russia,Germany,0
12/01/2008,Nord Stream,Russia,Germany,0
01/01/2009,Nord Stream,Russia,Germany,0
02/01/2009,Nord Stream,Russia,Germany,0
03/01/2009,Nord Stream,Russia,Germany,0
04/01/2009,Nord Stream,Russia,Germany,0
05/01/2009,Nord Stream,Russia,Germany,0
06/01/2009,Nord Stream,Russia,Germany,0
07/01/2009,Nord Stream,Russia,Germany,0
08/01/2009,Nord Stream,Russia,Germany,0
09/01/2009,Nord Stream,Russia,Germany,0
10/01/2009,Nord Stream,Russia,Germany,0
11/01/2009,Nord Stream,Russia,Germany,0
12/01/2009,Nord Stream,Russia,Germany,0
01/01/2010,Nord Stream,Russia,Germany,0
02/01/2010,Nord Stream,Russia,Germany,0
03/01/2010,Nord Stream,Russia,Germany,0
04/01/2010,Nord Stream,Russia,Germany,0
05/01/2010,Nord Stream,Russia,Germany,0
06/01/2010,Nord Stream,Russia,Germany,0
07/01/2010,Nord Stream,Russia,Germany,0
08/01/2010,Nord Stream,Russia,Germany,0
09/01/2010,Nord Stream,Russia,Germany,0
10/01/2010,Nord Stream,Russia,Germany,0
11/01/2010,Nord Stream,Russia,Germany,0
12/01/2010,Nord Stream,Russia,Germany,0
01/01/2011,Nord Stream,Russia,Germany,0
02/01/2011,Nord Stream,Russia,Germany,0
03/01/2011,Nord Stream,Russia,Germany,0
04/01/2011,Nord Stream,Russia,Germany,0
05/01/2011,Nord Stream,Russia,Germany,0
06/01/2011,Nord Stream,Russia,Germany,0
07/01/2011,Nord Stream,Russia,Germany,0
08/01/2011,Nord Stream,Russia,Germany,0
09/01/2011,Nord Stream,Russia,Germany,0
10/01/2011,Nord Stream,Russia,Germany,0
11/01/2011,Nord Stream,Russia,Germany,255
12/01/2011,Nord Stream,Russia,Germany,394
01/01/2012,Nord Stream,Russia,Germany,783
02/01/2012,Nord Stream,Russia,Germany,817
03/01/2012,Nord Stream,Russia,Germany,873
04/01/2012,Nord Stream,Russia,Germany,468
05/01/2012,Nord Stream,Russia,Germany,1069
06/01/2012,Nord Stream,Russia,Germany,1063
07/01/2012,Nord Stream,Russia,Germany,892
08/01/2012,Nord Stream,Russia,Germany,1035
09/01/2012,Nord Stream,Russia,Germany,914
10/01/2012,Nord Stream,Russia,Germany,987
11/01/2012,Nord Stream,Russia,Germany,934
12/01/2012,Nord Stream,Russia,Germany,1436
01/01/2013,Nord Stream,Russia,Germany,1521
02/01/2013,Nord Stream,Russia,Germany,1471
03/01/2013,Nord Stream,Russia,Germany,2064
04/01/2013,Nord Stream,Russia,Germany,2002
05/01/2013,Nord Stream,Russia,Germany,1991
06/01/2013,Nord Stream,Russia,Germany,1658
07/01/2013,Nord Stream,Russia,Germany,1642
08/01/2013,Nord Stream,Russia,Germany,2126
09/01/2013,Nord Stream,Russia,Germany,1667
10/01/2013,Nord Stream,Russia,Germany,1955
11/01/2013,Nord Stream,Russia,Germany,2827
12/01/2013,Nord Stream,Russia,Germany,2600
01/01/2014,Nord Stream,Russia,Germany,3101
02/01/2014,Nord Stream,Russia,Germany,2805
03/01/2014,Nord Stream,Russia,Germany,2775
04/01/2014,Nord Stream,Russia,Germany,2943
05/01/2014,Nord Stream,Russia,Germany,3145
06/01/2014,Nord Stream,Russia,Germany,2357
07/01/2014,Nord Stream,Russia,Germany,2500
08/01/2014,Nord Stream,Russia,Germany,2832
09/01/2014,Nord Stream,Russia,Germany,2989
10/01/2014,Nord Stream,Russia,Germany,2884
11/01/2014,Nord Stream,Russia,Germany,2806
12/01/2014,Nord Stream,Russia,Germany,2890
01/01/2015,Nord Stream,Russia,Germany,1929
02/01/2015,Nord Stream,Russia,Germany,1319
03/01/2015,Nord Stream,Russia,Germany,2897
04/01/2015,Nord Stream,Russia,Germany,3479
05/01/2015,Nord Stream,Russia,Germany,3788
06/01/2015,Nord Stream,Russia,Germany,3660
07/01/2015,Nord Stream,Russia,Germany,3969
08/01/2015,Nord Stream,Russia,Germany,2504
09/01/2015,Nord Stream,Russia,Germany,3619
10/01/2015,Nord Stream,Russia,Germany,3648
11/01/2015,Nord Stream,Russia,Germany,1695
12/01/2015,Nord Stream,Russia,Germany,3512
01/01/2016,Nord Stream,Russia,Germany,3403
02/01/2016,Nord Stream,Russia,Germany,3277
03/01/2016,Nord Stream,Russia,Germany,3536
04/01/2016,Nord Stream,Russia,Germany,3637
05/01/2016,Nord Stream,Russia,Germany,3763
06/01/2016,Nord Stream,Russia,Germany,3569
07/01/2016,Nord Stream,Russia,Germany,3771
08/01/2016,Nord Stream,Russia,Germany,2553
09/01/2016,Nord Stream,Russia,Germany,3454
10/01/2016,Nord Stream,Russia,Germany,3818
11/01/2016,Nord Stream,Russia,Germany,4960
12/01/2016,Nord Stream,Russia,Germany,3927
01/01/2017,Nord Stream,Russia,Germany,4982
02/01/2017,Nord Stream,Russia,Germany,3576
03/01/2017,Nord Stream,Russia,Germany,3951
04/01/2017,Nord Stream,Russia,Germany,3678
05/01/2017,Nord Stream,Russia,Germany,3788
06/01/2017,Nord Stream,Russia,Germany,3699
07/01/2017,Nord Stream,Russia,Germany,3811
08/01/2017,Nord Stream,Russia,Germany,4165
09/01/2017,Nord Stream,Russia,Germany,2850
10/01/2017,Nord Stream,Russia,Germany,5017
11/01/2017,Nord Stream,Russia,Germany,4861
12/01/2017,Nord Stream,Russia,Germany,5020
01/01/2018,Nord Stream,Russia,Germany,5020
02/01/2018,Nord Stream,Russia,Germany,4535
03/01/2018,Nord Stream,Russia,Germany,5004
04/01/2018,Nord Stream,Russia,Germany,4860
05/01/2018,Nord Stream,Russia,Germany,5017
06/01/2018,Nord Stream,Russia,Germany,4860
07/01/2018,Nord Stream,Russia,Germany,2883
08/01/2018,Nord Stream,Russia,Germany,5028
09/01/2018,Nord Stream,Russia,Germany,4842
10/01/2018,Nord Stream,Russia,Germany,5021
11/01/2018,Nord Stream,Russia,Germany,4796
12/01/2018,Nord Stream,Russia,Germany,4887
01/01/2019,Nord Stream,Russia,Germany,5029
02/01/2019,Nord Stream,Russia,Germany,4539
03/01/2019,Nord Stream,Russia,Germany,5025
04/01/2019,Nord Stream,Russia,Germany,4864
05/01/2019,Nord Stream,Russia,Germany,5021
06/01/2019,Nord Stream,Russia,Germany,4865
07/01/2019,Nord Stream,Russia,Germany,2923
08/01/2019,Nord Stream,Russia,Germany,5018
09/01/2019,Nord Stream,Russia,Germany,4692
10/01/2019,Nord Stream,Russia,Germany,4867
11/01/2019,Nord Stream,Russia,Germany,4840
12/01/2019,Nord Stream,Russia,Germany,5004
01/01/2020,Nord Stream,Russia,Germany,5076
02/01/2020,Nord Stream,Russia,Germany,4701
03/01/2020,Nord Stream,Russia,Germany,5027
04/01/2020,Nord Stream,Russia,Germany,4864
05/01/2020,Nord Stream,Russia,Germany,5026
06/01/2020,Nord Stream,Russia,Germany,4868
07/01/2020,Nord Stream,Russia,Germany,3048
08/01/2020,Nord Stream,Russia,Germany,5023
09/01/2020,Nord Stream,Russia,Germany,4816
10/01/2020,Nord Stream,Russia,Germany,5045
11/01/2020,Nord Stream,Russia,Germany,4864
12/01/2020,Nord Stream,Russia,Germany,5019
01/01/2021,Nord Stream,Russia,Germany,5026
02/01/2021,Nord Stream,Russia,Germany,4544
03/01/2021,Nord Stream,Russia,Germany,5043
04/01/2021,Nord Stream,Russia,Germany,2980
05/01/2021,Nord Stream,Russia,Germany,5025
06/01/2021,Nord Stream,Russia,Germany,4757
07/01/2021,Nord Stream,Russia,Germany,3273
08/01/2021,Nord Stream,Russia,Germany,5000
09/01/2021,Nord Stream,Russia,Germany,4864
10/01/2021,Nord Stream,Russia,Germany,4957
11/01/2021,Nord Stream,Russia,Germany,4864
12/01/2021,Nord Stream,Russia,Germany,5021
01/01/2022,Nord Stream,Russia,Germany,4691
02/01/2022,Nord Stream,Russia,Germany,4491
03/01/2022,Nord Stream,Russia,Germany,4816
04/01/2022,Nord Stream,Russia,Germany,4856
05/01/2022,Nord Stream,Russia,Germany,5006
06/01/2022,Nord Stream,Russia,Germany,2808
07/01/2022,Nord Stream,Russia,Germany,1196
08/01/2022,Nord Stream,Russia,Germany,953
09/01/2022,Nord Stream,Russia,Germany,0
10/01/2022,Nord Stream,Russia,Germany,0
11/01/2022,Nord Stream,Russia,Germany,0
12/01/2022,Nord Stream,Russia,Germany,0
10/01/2008,Bocholtz,Netherlands,Germany,1084
11/01/2008,Bocholtz,Netherlands,Germany,987
12/01/2008,Bocholtz,Netherlands,Germany,1208
01/01/2009,Bocholtz,Netherlands,Germany,1208
02/01/2009,Bocholtz,Netherlands,Germany,747
03/01/2009,Bocholtz,Netherlands,Germany,592
04/01/2009,Bocholtz,Netherlands,Germany,0
05/01/2009,Bocholtz,Netherlands,Germany,0
06/01/2009,Bocholtz,Netherlands,Germany,0
07/01/2009,Bocholtz,Netherlands,Germany,0
08/01/2009,Bocholtz,Netherlands,Germany,0
09/01/2009,Bocholtz,Netherlands,Germany,0
10/01/2009,Bocholtz,Netherlands,Germany,703
11/01/2009,Bocholtz,Netherlands,Germany,938
12/01/2009,Bocholtz,Netherlands,Germany,1127
01/01/2010,Bocholtz,Netherlands,Germany,1207
02/01/2010,Bocholtz,Netherlands,Germany,1112
03/01/2010,Bocholtz,Netherlands,Germany,987
04/01/2010,Bocholtz,Netherlands,Germany,924
05/01/2010,Bocholtz,Netherlands,Germany,897
06/01/2010,Bocholtz,Netherlands,Germany,796
07/01/2010,Bocholtz,Netherlands,Germany,691
08/01/2010,Bocholtz,Netherlands,Germany,423
09/01/2010,Bocholtz,Netherlands,Germany,324
10/01/2010,Bocholtz,Netherlands,Germany,606
11/01/2010,Bocholtz,Netherlands,Germany,562
12/01/2010,Bocholtz,Netherlands,Germany,888
01/01/2011,Bocholtz,Netherlands,Germany,1291
02/01/2011,Bocholtz,Netherlands,Germany,1213
03/01/2011,Bocholtz,Netherlands,Germany,1302
04/01/2011,Bocholtz,Netherlands,Germany,976
05/01/2011,Bocholtz,Netherlands,Germany,524
06/01/2011,Bocholtz,Netherlands,Germany,788
07/01/2011,Bocholtz,Netherlands,Germany,619
08/01/2011,Bocholtz,Netherlands,Germany,676
09/01/2011,Bocholtz,Netherlands,Germany,717
10/01/2011,Bocholtz,Netherlands,Germany,744
11/01/2011,Bocholtz,Netherlands,Germany,765
12/01/2011,Bocholtz,Netherlands,Germany,1422
01/01/2012,Bocholtz,Netherlands,Germany,1454
02/01/2012,Bocholtz,Netherlands,Germany,1518
03/01/2012,Bocholtz,Netherlands,Germany,1209
04/01/2012,Bocholtz,Netherlands,Germany,1255
05/01/2012,Bocholtz,Netherlands,Germany,1256
06/01/2012,Bocholtz,Netherlands,Germany,1174
07/01/2012,Bocholtz,Netherlands,Germany,975
08/01/2012,Bocholtz,Netherlands,Germany,1011
