COUNTRY,DATATYPE,PRODUCT,FLOW,TIME,VALUE
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,2020,57291
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,2021,55420
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,3Q2022,16558
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,Nov-21,4496
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,Nov-22,4599
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,YTD2021,50984
AUSTRALI,BALANCE,NATGASCM,GDINCTRO,YTD2022,53705
AUSTRALI,BALANCE,NATGASCM,INDPROD,2020,153014
AUSTRALI,BALANCE,NATGASCM,INDPROD,2021,156154
AUSTRALI,BALANCE,NATGASCM,INDPROD,3Q2022,41819
AUSTRALI,BALANCE,NATGASCM,INDPROD,Nov-21,13310
AUSTRALI,BALANCE,NATGASCM,INDPROD,Nov-22,13471
AUSTRALI,BALANCE,NATGASCM,INDPROD,YTD2021,142929
AUSTRALI,BALANCE,NATGASCM,INDPROD,YTD2022,149142
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,2020,6711
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,2021,6069
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,3Q2022,463
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,Nov-21,461
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,Nov-22,181
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,YTD2021,5596
AUSTRALI,BALANCE,NATGASCM,TOTENTSB,YTD2022,2787
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,2020,102434
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,2021,106803
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,3Q2022,25724
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,Nov-21,9275
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,Nov-22,9053
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,YTD2021,97541
AUSTRALI,BALANCE,NATGASCM,TOTEXTSB,YTD2022,98224
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,2020,8823.864
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,2021,9343.52
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,3Q2022,1138.676
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,Nov-21,1074.752
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,Nov-22,804.768
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,YTD2021,8173.801
AUSTRIA,BALANCE,NATGASCM,GDINCTRO,YTD2022,7184.425
AUSTRIA,BALANCE,NATGASCM,INDPROD,2020,786.796
AUSTRIA,BALANCE,NATGASCM,INDPROD,2021,708.413
AUSTRIA,BALANCE,NATGASCM,INDPROD,3Q2022,161.135
