COUNTRY,PRODUCT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021E
Australia,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0,0.01,0,0,0,0
Australia,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,Coal,0.1,0.06,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.02,0,0,0.02,0.02,0.04,0.01,0,0.06,0.06,0.04,0.05,0.08,0.09,0.09
Austria,Oil,0.08,0.05,0.04,0.03,0.1,0.15,0.1,0.1,0.1,0.06,0.08,0.09,0.07,0.11,0.09,0.16,0.1,0.02,0.02,0.03,0.06,0.11,0.1,0.1,0.06,0.07,0.08,0.05,0.02,0.03,0.07,0.06
Austria,Natural Gas,0.83,0.75,0.76,0.75,0.65,0.77,0.71,0.69,0.69,0.64,0.64,0.6,0.62,0.69,0.68,0.7,0.66,0.65,0.63,0.81,0.79,0.91,1,0.76,0,0,0,0,0,0,0,0
Belgium,Coal,0.01,0.03,0.02,0.03,0.01,0.01,0.02,0.05,0.07,0.08,0.1,0.12,0.12,0.11,0.15,0.12,0.1,0.17,0.2,0.05,0.02,0.01,0.1,0.23,0.25,0.23,0.27,0.25,0.32,0.31,0.32,0.31
Belgium,Oil,0.27,0.18,0.12,0.16,0.13,0.15,0.18,0.16,0.17,0.24,0.27,0.25,0.46,0.52,0.63,0.63,0.62,0.77,0.63,0.55,0.66,0.67,0.61,0.63,0.59,0.5,0.58,0.8,0.64,0.59,0.45,0.44
Belgium,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.04,0.05,0.05,0.03,0.02,0,0,0,0,0,0,0,0.02,0.11,0.08,0.08
Bulgaria,Coal,0,0,0,0,0,0,0,0.03,0.05,0.04,0.07,0,0.09,0.11,0.1,0.11,0.14,0.09,0.11,0.1,0.07,0.08,0.07,0.09,0.07,0.09,0.07,0.08,0.08,0.08,0.09,0.09
Bulgaria,Oil,0.87,0.75,0.42,0.96,1.26,1.34,1.3,1.33,1.18,1.27,1.26,1.33,1.19,0.84,1.21,1.13,1.28,0.97,1.1,1.09,1.54,1.54,1.68,1.86,1.6,1.36,1.3,1.01,0.9,1.02,0.04,N/A
Bulgaria,Natural Gas,1.01,0.97,1,0.99,0.98,1,1.01,1.04,1,1.03,0.94,1,1.04,0.94,0.96,0.88,0.9,0.91,0.96,0.99,0.93,0.86,0.83,0.93,0.94,0.97,0.97,0.99,0.99,0.8,0.73,0.77
Canada,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.01
Canada,Oil,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0.01,0,0,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0,0
Canada,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.06
Chile,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,Coal,0,0,0,0,0.18,0.02,0.05,0.05,0,0,0.02,0.01,0,0,0,0.29,0.44,0.31,0.01,0.25,0.24,0,0,0.2,0.82,0.64,0.73,0.82,0.37,0.94,0.78,0.78
Croatia,Oil,0,0,0,0,0,0,0,0,0,0.76,0.51,0.4,0.7,0.35,0.73,0.78,0.84,0.89,0.8,0.83,0.63,0.6,0.54,0.65,0.36,0.3,0.18,0.19,0.21,0.09,0.13,N/A
Croatia,Natural Gas,0.26,0.32,0.28,0.29,0.29,0.12,0.33,0.38,0.42,0.41,0.41,0.38,0.37,0.39,0.35,0.39,0.39,0.32,0.34,0.34,0.32,0,0,0,0,0,0,0,0,0,0,0
Cyprus,Coal,0,0,0,0,0,0,0,0,0.78,0.84,0.59,1.11,1.23,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.5,1.18,1.05,0.98
Cyprus,Oil,0,0,0,0,0,0,0,0,0,0.03,0.29,0.23,0.63,0.26,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.01,N/A
Cyprus,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.01
Czech Republic,Oil,0,0,0,0,0,0,0.87,0.81,0.75,0.63,0.62,0.51,0.48,0.51,0.48,0.57,0.55,0.49,0.56,0.56,0.56,0.47,0.53,0.52,0.48,0.47,0.44,0.44,0.43,0.41,0.36,0.37
Czech Republic,Natural Gas,0.91,1.09,0.94,0.96,0.99,0.98,1,0.9,0.87,0.79,0.78,0.73,0.74,0.73,0.68,0.75,0.78,0.74,0.75,0.68,0.76,1.09,0.89,1,0.87,0.95,0.96,1.01,0.96,1.09,0.86,0.92
Denmark,Coal,0,0,0,0.18,0.09,0.11,0.03,0.04,0.02,0.12,0.21,0.28,0.16,0.1,0.27,0.25,0.23,0.3,0.41,0.42,0.22,0.37,0.35,0.36,0.42,0.49,0.58,0.71,0.75,1.49,0.94,0.44
Denmark,Oil,0,0.03,0.11,0.14,0.12,0.18,0.09,0.02,0,0,0,0.01,0.02,0.02,0.02,0.03,0.01,0.02,0.01,0,0.04,0.08,0.02,0.1,0.13,0.22,0.28,0.15,0.08,0.06,0.13,0.15
Denmark,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Coal,0.03,0.03,0.04,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0,0
Estonia,Oil,0,0,0,0,0,0,0,0,0,0.12,0.11,0.07,0.09,0.06,0.08,0.06,0.11,0.08,0.09,0.09,0.08,0.02,0.45,0.21,0.22,0.46,0.28,1.01,1.62,-8.64,-3.98,67.82
Estonia,Natural Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,0.49,1
Finland,Coal,0.35,0.12,0.18,0.2,0.21,0.17,0.15,0.13,0.09,0.18,0.32,0.3,0.25,0.41,0.45,0.35,0.32,0.43,0.44,0.55,0.35,0.55,0.37,0.45,0.55,0.36,0.39,0.41,0.41,0.38,0.3,0.22
Finland,Oil,0.02,0.04,0.32,0.27,0.41,0.28,0.31,0.46,0.56,0.6,0.63,0.63,0.68,0.82,0.95,0.91,0.79,0.97,1.08,1.16,1.19,1.17,1.24,1.45,1.16,1.33,1.41,1.44,1.44,1.6,1.37,1.12
Finland,Natural Gas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,0.98,0.98,0.68,0.75
France,Coal,0.02,0.03,0.03,0.01,0.01,0.01,0,0,0,0.01,0.02,0.01,0.01,0.02,0.04,0.04,0.06,0.05,0.09,0.09,0.15,0.14,0.14,0.15,0.18,0.17,0.19,0.26,0.3,0.24,0.29,0.2
France,Oil,0.06,0.02,0.08,0.08,0.07,0.08,0.1,0.1,0.06,0.08,0.07,0.1,0.13,0.15,0.15,0.12,0.12,0.13,0.15,0.15,0.17,0.14,0.12,0.11,0.09,0.07,0.09,0.13,0.12,0.1,0.05,0.05
France,Natural Gas,0.32,0.32,0.34,0.31,0.35,0.35,0.3,0.28,0.26,0.3,0.29,0.24,0.24,0.23,0.21,0.2,0.16,0.13,0.15,0.16,0.14,0.16,0.18,0.22,0.16,0.14,0.21,0.2,0.23,0.25,0.2,0.27
Germany,Coal,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.02,0.04,0.06,0.06,0.07,0.07,0.08,0.09,0.08,0.08,0.1,0.11,0.12,0.14,0.17,0.17,0.22,0.2,0.24
Germany,Oil,0,0,0.08,0.13,0.18,0.16,0.2,0.19,0.2,0.22,0.24,0.24,0.26,0.28,0.32,0.33,0.32,0.33,0.31,0.34,0.33,0.35,0.35,0.31,0.3,0.33,0.36,0.33,0.32,0.28,0.3,0.31
Germany,Natural Gas,0.38,0.33,0.32,0.34,0.38,0.38,0.35,0.34,0.36,0.39,0.39,0.35,0.36,0.37,0.41,0.41,0.4,0.41,0.42,0.34,0.38,0.4,0.39,0.46,0.49,0.56,0.7,0.69,0.49,0.51,0.59,0.6
Greece,Coal,0.03,0.02,0.07,0.03,0.02,0.02,0.01,0.01,0,0.01,0.02,0.04,0.03,0.02,0.04,0.03,0.02,0.03,0.02,0.02,0.03,0.01,0,0.01,0.02,0.02,0.04,0.05,0.05,0.06,0.09,0.09
Greece,Oil,0.11,0.12,0.1,0.12,0.18,0.2,0.2,0.18,0.08,0.12,0.32,0.4,0.61,0.52,0.39,0.39,0.36,0.45,0.45,0.46,0.57,0.38,0.68,0.77,0.77,0.71,0.58,0.57,0.73,0.57,0.83,0.64
Greece,Natural Gas,0,0,0,0,0,0,0.16,0.76,0.95,1,0.73,0.73,0.73,0.75,0.8,0.83,0.8,0.76,0.65,0.56,0.52,0.59,0.55,0.66,0.57,0.61,0.63,0.58,0.65,0.31,0.39,0.4
Hungary,Coal,0.07,0.1,0,0.03,0.01,0.01,0,0.02,0.02,0.03,0.04,0.03,0.03,0.06,0.12,0.16,0.13,0.15,0.13,0.13,0.06,0.02,0.01,0.01,0.01,0.01,0.01,0.04,0.08,0.05,0.11,0.1
Hungary,Oil,0,0,0,0,0,0,0,0.83,0.88,0.87,0.88,0.88,0.8,0.87,0.88,0.93,0.93,0.94,0.97,0.82,0.9,0.99,0.94,0.93,0.9,0.78,0.75,0.56,0.61,0.61,0.53,0.46
Hungary,Natural Gas,0.58,0.56,0.53,0.57,0.53,0.6,0.71,0.53,0.59,0.63,0.67,0.64,0.72,0.76,0.64,0.6,0.66,0.6,0.69,0.71,0.76,0.7,0.79,0.83,1.01,0.72,0.75,0.91,0.74,1.09,0.72,0.64
Iceland,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,Oil,0.06,0.06,0.07,0.07,0.07,0.08,0.03,0.07,0.04,0.05,0.04,0.03,0.04,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0,0,0,0.02,0,0,0
Iceland,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Coal,0,0,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.01,0.02,0.06,0.08
Ireland,Oil,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.16,0.14,0.2,0.23,0.23,0.21,0.28,0.38,0,0,0,0
Israel,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0
Italy,Coal,0.03,0.04,0.08,0.07,0.06,0.04,0.03,0.01,0.01,0.05,0.05,0.04,0.06,0.04,0.07,0.04,0.03,0.03,0.04,0.06,0.1,0.11,0.12,0.2,0.19,0.21,0.25,0.37,0.37,0.43,0.49,0.56
Italy,Oil,0.02,0,0,0.2,0.25,0.16,0.13,0.13,0.14,0.19,0.2,0.24,0.23,0.25,0.27,0.27,0.22,0.28,0.23,0.26,0.23,0.22,0.24,0.31,0.25,0.23,0.2,0.16,0.16,0.22,0.17,0.17
Italy,Natural Gas,0.29,0.28,0.26,0.26,0.27,0.25,0.24,0.24,0.27,0.28,0.3,0.28,0.29,0.28,0.29,0.27,0.27,0.27,0.28,0.26,0.18,0.25,0.24,0.4,0.39,0.41,0.38,0.44,0.45,0.45,0.4,0.38
Japan,Coal,0.07,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.06,0.06,0.07,0.07,0.08,0.07,0.09,0.1,0.1,0.11,0.12,0.13,0.14,0.12
Japan,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.06,0.04,0.05,0.06,0.07,0.07,0.05,0.05,0.04,0.04,0.03,0.03
Japan,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.08,0.09,0.09,0.1,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.09
Korea,Coal,0.03,0.01,0.01,0.02,0,0.02,0.02,0.01,0.01,0.02,0.04,0.03,0.04,0.04,0.06,0.04,0.06,0.07,0.07,0.05,0.07,0.1,0.11,0.12,0.14,0.18,0.2,0.19,0.19,0.19,0.21,0
Korea,Oil,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.06,0.04,0.04,0.07,0.05,0.04,0.06,0.05,0.07,0.05,0.05,0.05,0.04,0.06,0.07
Korea,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.09,0.08,0.05,0.05,0.05,0.07,0.05,0.05,0.04,0.06,0.05,0.05
Latvia,Coal,0.8,0.48,0.44,0.4,0.45,0.3,0.29,0.43,0.51,0.66,0.43,0.51,0.68,0.86,0.89,0.92,1.19,0.91,0.9,0.95,0.83,0.56,0.77,1,0.83,0.95,0.96,1.01,1.01,0.98,1.02,0.48
Latvia,Oil,0,0,0,0,0,0,0,0,0,0.1,0.09,0.07,0.08,0.09,0.13,0.16,0.07,0.09,0.08,0.11,0.16,0.16,0.14,0.16,0.16,0.19,0.21,0.21,0.18,0.16,0.12,0.13
Latvia,Natural Gas,1.13,1,1.24,0.67,0.98,0.99,1,0.99,1.06,1.04,1.02,0.86,0.89,1.04,1.3,1.06,1.09,0.97,0.82,1.14,0.62,1.09,1.14,1.16,0.72,0.99,0.83,1.02,0.99,1,1,1
Lithuania,Coal,0.24,0,1.41,0.52,1.07,0.36,0.9,0.85,0.85,0.67,0.54,0.48,0.63,0.6,0.63,0.61,0.6,0.55,0.66,0.58,0.79,0.99,0.85,0.97,0.82,0.78,0.76,0.87,0.78,0.91,0.72,0.78
Lithuania,Oil,0,0,0,0,0,0,0,0,0,1.6,2.29,2.58,2.58,3.11,3.29,3.37,3.15,2.07,3.08,3.37,3.58,3.64,3.45,3.68,2.77,2.95,3.06,2.43,2.3,2.7,2.13,2.36
Lithuania,Natural Gas,1.03,1,1,1,1,1,1,1,1,1.01,1,1,1,1,1,1.01,1.01,1.03,0.96,1,1,1,1,1,0.99,0.86,0.39,0.58,0.61,0.53,0.5,0.43
Luxembourg,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.08,0.07
Luxembourg,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.23,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.27,0.27,0.27,0.27,0
Malta,Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
Malta,Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Coal,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.08,0.09,0
