Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Production (PJ),961,873,755,691,687,679,669,589,572,560,566,529,503,496,456,442,432,377,371,346,331,306,274,245,252,221,186,152,143,104,67,52,58,23,16,12,11,7,4,7,4,8,8,8,0,0,0,c,c,c,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Imports (PJ),461,416,452,586,559,596,651,689,809,883,815,669,553,651,586,516,418,398,495,564,612,612,413,364,395,459,418,550,523,560,480,535,501,569,585,597,549,620,447,513,478,509,521,410,385,360,424,388,306,214,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Exports (PJ),-42,-44,-55,-50,-36,-45,-39,-34,-59,-36,-45,-43,-39,-49,-40,-30,-35,-59,-33,-27,-29,-26,-31,-27,-19,-19,-17,-15,-15,-23,-19,-13,-14,-26,-26,-23,-28,-33,-20,-7,-2,-2,0,-2,-1,-2,0,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Total energy supply (PJ),1404,1233,1227,1236,1114,1262,1270,1261,1358,1377,1219,1252,1117,1079,1053,865,826,808,872,840,889,786,620,617,666,688,606,715,642,623,523,562,596,575,593,547,565,534,465,501,472,524,555,412,390,381,415,382,307,222,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-525,-427,-434,-418,-419,-587,-643,-643,-703,-716,-587,-698,-610,-538,-440,-341,-291,-304,-377,-352,-416,-349,-237,-242,-279,-310,-263,-384,-323,-318,-243,-270,-287,-271,-303,-262,-277,-252,-239,-243,-192,-249,-271,-160,-154,-134,-159,-114,-70,-59,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Total final consumption (PJ),668,602,585,568,450,422,391,375,371,360,365,353,330,350,385,365,344,331,327,263,250,242,183,184,184,191,188,171,146,141,131,113,116,114,127,128,139,131,100,113,111,99,103,103,95,107,85,62,51,45,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Industry (PJ),337,306,305,306,239,228,218,207,212,226,245,242,216,241,273,260,249,252,252,182,165,172,119,132,136,140,142,130,106,108,99,89,91,89,104,106,118,111,83,94,96,85,88,85,79,90,69,46,37,33,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Transport (PJ),5,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Residential (PJ),317,284,269,253,203,189,169,166,157,133,120,111,113,108,112,105,95,79,75,41,44,35,32,26,24,26,22,20,19,16,15,11,10,10,9,9,9,10,8,9,2,2,2,1,2,2,1,1,1,1,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Commercial and public services (PJ),9,9,8,7,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,28,30,24,22,18,16,18,15,14,13,11,11,7,7,7,6,6,6,5,4,5,2,2,2,2,2,2,2,2,1,1,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Coal, peat and oil shale",Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,10,9,9,8,8,8,8,7,6,6,6,8,7,7,8,7,6,4,4,12,11,11,15,13,13,13,14,11,10,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Production (PJ),105,90,87,80,77,76,79,81,84,94,102,98,97,113,136,144,153,160,157,145,152,145,141,139,125,109,93,85,80,76,68,64,65,65,58,52,51,54,48,46,46,42,44,43,44,41,40,38,39,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Imports (PJ),4504,4931,5648,5434,4441,5071,4914,4840,5324,4756,3987,3387,3125,3155,3172,2994,2868,3122,3061,3167,3269,3201,3295,3251,3292,3527,3694,3786,3438,3586,3614,3350,3656,3642,3601,3509,3474,3564,3071,2747,2783,2465,2426,2349,2493,2395,2471,2278,2080,1420,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Exports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-5,-5,-7,-5,-7,-13,-20,-18,-56,-53,-19,-42,-52,-57,-55,-73,0,0,-2,-3,-2,-1,-1,-1,-3,-2,-22,-10,-6,-5,-5,-1,-5,-1,-5,-5,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Total energy supply (PJ),4581,5050,5652,5361,4589,5123,4981,4993,5367,4825,4115,3523,3326,3287,3317,3162,3008,3239,3241,3283,3397,3298,3404,3323,3409,3584,3723,3792,3450,3571,3669,3418,3669,3705,3665,3567,3534,3618,3134,2804,2837,2483,2436,2404,2536,2476,2493,2331,2119,1458,1492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-4554,-5022,-5618,-5327,-4565,-5171,-5054,-5002,-5432,-4873,-4163,-3572,-3391,-3326,-3349,-3217,-3073,-3285,-3280,-3306,-3425,-3373,-3477,-3374,-3447,-3620,-3820,-3948,-3599,-3744,-3795,-3541,-3768,-3806,-3719,-3737,-3695,-3786,-3349,-3064,-3098,-2648,-2506,-2514,-2597,-2559,-2557,-2399,-2189,-1586,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Total final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Industry (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Transport (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Residential (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Commercial and public services (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,"Crude, NGL and feedstocks",Other final consumption (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Production (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Imports (PJ),346,379,306,287,326,354,330,381,420,519,575,792,789,823,704,917,1147,941,1038,1041,1142,1062,1000,899,920,976,811,977,1134,1125,1165,1356,1288,1365,1564,1609,1513,1512,1632,1703,1732,1871,1829,1850,1828,1759,1750,1793,1909,1852,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Exports (PJ),-498,-524,-567,-475,-479,-424,-570,-554,-686,-572,-635,-495,-453,-459,-496,-512,-470,-531,-505,-598,-584,-605,-645,-698,-643,-735,-782,-836,-763,-877,-833,-809,-948,-1005,-1152,-1168,-1101,-1299,-1068,-965,-882,-828,-798,-805,-891,-873,-860,-848,-728,-547,-551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Total energy supply (PJ),-423,-471,-636,-623,-266,-444,-620,-309,-655,-373,-157,204,292,166,91,250,485,165,286,236,257,189,119,-29,-3,0,-270,-180,116,-129,54,219,28,32,29,88,61,-119,245,420,491,745,715,723,621,575,579,622,854,1148,1268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,"Electricity, CHP and heat plants (PJ)",-334,-451,-651,-606,-490,-628,-427,-479,-503,-425,-285,-235,-144,-70,-63,-43,-49,-50,-98,-68,-117,-71,-40,-34,-51,-53,-49,-86,-70,-52,-42,-36,-50,-59,-121,-106,-92,-74,-75,-81,-95,-90,-74,-72,-70,-72,-72,-51,-52,-49,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,"Oil refineries, transformation (PJ)",4478,4931,5619,5307,4544,5158,5038,4994,5416,4887,4157,3582,3395,3341,3372,3241,3101,3312,3310,3336,3453,3398,3491,3406,3488,3658,3882,3989,3634,3776,3856,3584,3726,3758,3671,3697,3652,3748,3319,3033,3068,2618,2482,2489,2571,2533,2535,2377,2169,1575,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Total final consumption (PJ),3474,3751,4021,3757,3541,3650,3618,3880,3874,3657,3322,3136,3142,3108,3051,3087,3128,3133,3156,3145,3324,3341,3259,3229,3303,3342,3349,3399,3384,3371,3486,3432,3432,3427,3358,3345,3261,3161,3041,2984,2988,2965,2944,2898,2897,2835,2862,2766,2757,2464,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Industry (PJ),1067,993,915,951,831,858,855,850,876,807,545,459,454,408,360,329,336,305,288,275,288,282,306,285,284,306,279,237,234,207,251,236,209,201,183,188,166,145,130,120,139,130,127,120,122,118,107,114,114,111,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Transport (PJ),847,926,1008,1000,1033,1127,1138,1215,1221,1243,1266,1275,1286,1308,1304,1364,1409,1492,1527,1581,1629,1662,1676,1686,1696,1692,1725,1786,1791,1830,1852,1849,1829,1830,1797,1799,1786,1702,1682,1685,1750,1734,1720,1721,1738,1745,1753,1714,1712,1452,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Residential (PJ),70,62,76,81,82,84,86,90,96,88,84,81,81,79,546,571,533,488,479,459,489,473,443,403,403,431,404,440,434,400,444,393,413,407,404,370,317,356,345,321,262,277,279,231,232,217,216,195,182,180,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Commercial and public services (PJ),961,1182,1358,1108,1050,1054,1026,1158,1032,928,882,779,764,753,260,271,249,227,223,213,229,225,212,197,201,215,199,212,206,180,191,172,181,181,169,153,135,160,155,143,116,121,124,110,114,106,110,101,99,97,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Oil products,Other final consumption (PJ),530,588,663,617,546,527,513,567,650,592,546,542,557,559,581,552,602,622,639,617,690,699,622,658,718,698,741,724,718,754,748,782,800,807,805,835,857,797,728,714,721,702,694,715,691,649,676,642,650,624,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Production (PJ),253,262,263,266,258,249,269,277,272,265,249,231,234,222,188,148,137,113,109,105,120,117,121,123,117,101,89,77,70,63,63,61,54,46,38,44,38,34,32,27,21,19,12,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Imports (PJ),167,232,320,382,398,493,528,580,622,683,734,685,794,767,867,912,963,914,957,1033,1096,1153,1081,1125,1177,1269,1277,1291,1485,1526,1497,1570,1609,1672,1743,1681,1587,1679,1705,1763,1843,1773,1780,1683,1649,1726,1807,1838,2048,1726,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Exports (PJ),0,-3,-3,-5,-5,-5,-6,-6,-6,-5,-5,-5,-5,-6,-4,-11,-17,-19,-27,-12,-19,-39,-21,-27,-26,-29,-49,-30,-27,-29,-33,-32,-38,-53,-38,-28,-33,-46,-81,-107,-243,-225,-189,-266,-204,-140,-227,-223,-405,-342,-158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Total energy supply (PJ),408,482,565,590,658,707,738,788,873,906,921,885,942,961,1029,1035,1047,1042,1019,1090,1194,1192,1219,1163,1238,1369,1312,1399,1426,1497,1572,1569,1646,1681,1718,1659,1611,1670,1610,1784,1549,1600,1625,1365,1467,1603,1612,1542,1572,1461,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,"Electricity, CHP and heat plants (PJ)",-62,-77,-81,-93,-108,-92,-83,-55,-74,-55,-44,-43,-38,-29,-22,-18,-15,-15,-17,-18,-19,-19,-21,-22,-23,-26,-29,-30,-45,-126,-176,-200,-201,-207,-229,-232,-236,-235,-292,-311,-248,-216,-176,-129,-188,-273,-305,-242,-301,-275,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,"Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Total final consumption (PJ),292,354,430,459,491,574,626,701,786,807,851,825,871,939,974,990,1007,973,987,1002,1136,1151,1157,1150,1172,1295,1281,1312,1363,1346,1378,1355,1421,1443,1447,1398,1340,1384,1301,1382,1303,1383,1437,1215,1247,1308,1274,1263,1234,1151,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Industry (PJ),132,152,174,178,193,232,243,268,303,302,324,302,317,335,348,344,356,360,381,385,409,410,405,402,432,453,467,492,502,517,542,539,560,509,543,526,521,536,402,467,500,490,506,473,455,469,441,461,440,416,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Transport (PJ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,5,5,5,6,7,7,8,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Residential (PJ),81,101,122,133,140,163,176,198,225,227,237,235,249,269,279,297,297,281,278,401,470,460,482,453,476,536,488,532,537,529,540,554,551,618,605,612,542,586,594,581,532,588,607,454,489,529,514,484,476,450,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Commercial and public services (PJ),35,53,71,79,95,114,128,151,164,180,187,191,208,221,245,255,261,247,252,130,167,186,173,198,167,205,220,182,219,190,194,173,222,230,235,209,219,202,251,283,218,249,268,230,245,249,257,254,250,222,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Natural gas,Other final consumption (PJ),43,47,63,68,64,65,79,84,95,98,103,97,97,114,101,95,93,86,76,86,90,96,96,97,97,102,105,107,103,110,101,89,87,85,63,51,57,59,53,50,49,51,52,53,54,56,56,58,61,55,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Production (PJ),102,159,161,160,199,172,196,333,436,668,1149,1188,1574,2086,2445,2773,2897,3006,3316,3426,3615,3692,4017,3927,4115,4335,4314,4233,4301,4529,4594,4765,4812,4890,4926,4911,4797,4794,4470,4675,4826,4641,4622,4762,4772,4398,4346,4505,4353,3860,4138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Nuclear,Imports (PJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
