Country,Product,Flow,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 Provisional
Germany,"Coal, peat and oil shale",Production (PJ),6282,6013,5920,5894,5830,5840,5657,5647,5864,5993,6136,6144,5910,5905,6072,5858,5657,5630,5553,5098,4444,4088,3678,3389,3305,3094,2964,2718,2646,2538,2436,2444,2417,2443,2365,2229,2276,2096,1942,1922,1955,1993,1886,1848,1800,1663,1651,1585,1190,979,1151
Germany,"Coal, peat and oil shale",Imports (PJ),617,611,638,581,542,532,534,512,631,605,605,580,535,514,578,609,541,491,435,481,493,515,454,526,513,574,664,754,748,930,1102,1051,1069,1187,1113,1398,1368,1328,1106,1364,1397,1394,1568,1557,1569,1661,1415,1292,1180,883,1152
Germany,"Coal, peat and oil shale",Exports (PJ),-756,-717,-766,-963,-703,-650,-665,-883,-842,-661,-630,-508,-542,-650,-566,-455,-388,-380,-442,-342,-197,-113,-73,-114,-84,-53,-39,-26,-19,-23,-20,-27,-23,-23,-26,-29,-33,-44,-37,-40,-40,-49,-49,-65,-59,-59,-63,-63,-63,-59,-71
Germany,"Coal, peat and oil shale",Total energy supply (PJ),5935,5765,5836,5789,5271,5562,5359,5464,5779,5904,6002,5877,5870,6054,6077,5876,5795,5731,5689,5384,4802,4373,4113,4009,3836,3801,3638,3551,3380,3551,3621,3522,3548,3581,3429,3605,3605,3358,3017,3305,3270,3356,3418,3333,3325,3234,2990,2915,2361,1865,2244
Germany,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-2920,-2995,-3052,-3071,-2833,-3176,-3120,-3166,-3328,-3396,-3532,-3536,-3605,-3693,-3614,-3611,-3529,-3541,-3581,-3388,-3331,-3206,-3127,-3076,-3026,-3108,-2960,-2933,-2816,-2896,-2938,-2962,-3047,-2981,-2867,-2896,-3018,-2767,-2551,-2650,-2625,-2764,-2856,-2702,-2653,-2557,-2351,-2235,-1722,-1361,..
Germany,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Germany,"Coal, peat and oil shale",Total final consumption (PJ),2521,2359,2332,2279,2037,2025,1923,1925,2049,2060,2039,1962,1980,2106,2169,2018,2028,1934,1876,1643,1132,850,710,631,569,540,498,433,388,375,354,334,351,312,285,322,297,288,249,301,328,303,296,284,318,304,300,279,258,240,..
Germany,"Coal, peat and oil shale",Industry (PJ),1186,1115,1141,1150,1026,1028,959,980,1015,1044,1053,1002,1082,1148,1149,1024,1015,1029,1042,847,608,511,424,425,399,373,368,346,317,309,287,277,305,275,245,276,245,240,202,240,271,252,248,242,269,265,261,240,226,210,..
Germany,"Coal, peat and oil shale",Transport (PJ),89,79,72,56,36,26,19,15,11,10,8,8,8,9,7,5,3,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Germany,"Coal, peat and oil shale",Residential (PJ),742,695,646,618,544,529,516,502,556,557,543,529,472,487,535,535,536,477,426,450,314,198,178,144,105,108,79,53,43,39,38,31,31,25,25,28,30,27,27,42,36,31,29,24,25,22,21,21,14,13,..
Germany,"Coal, peat and oil shale",Commercial and public services (PJ),308,281,299,289,277,292,289,300,330,315,293,281,289,323,337,324,349,299,291,260,141,89,78,39,46,41,35,19,14,13,14,12,5,4,3,4,8,6,5,4,4,4,2,2,8,1,1,1,0,0,..
